mapSize,16,16
mapData
Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none,none,none,none
Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none,none,none
Brick_Snow_01,Brick_Snow_01,none,none,Brick_Snow_01,Brick_Snow_01,none,Brick_Snow_01,none,none,none,none,none,none,none,none
Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,Brick_Snow_01,none,none,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none
none,Brick_Snow_01,Brick_Snow_01,none,Brick_Snow_01,none,none,none,none,Brick_Snow_01,none,none,none,none,none,none
none,Brick_Snow_01,Brick_Snow_01,none,Brick_Snow_01,Brick_Snow_01,none,none,none,Brick_Snow_01,none,none,none,none,none,none
none,Brick_Snow_01,Brick_Snow_01,none,none,none,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none
none,none,Brick_Snow_01,none,none,none,none,none,none,Brick_Snow_01,none,none,none,none,none,none
none,none,Brick_Snow_01,none,none,none,none,none,none,none,Brick_Snow_01,none,none,none,none,none
none,none,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none,none,none,none,none,none
none,none,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none,none,none,none
none,none,none,Brick_Snow_01,Brick_Snow_01,Brick_Snow_01,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,Brick_Snow_01,none,none,none,none,none,none,none
