mapSize,16,16
mapData
Water_01@0@False,Water_01@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_01@0@False,Water_01@0@False,Water_Shore_1S_03@0@False,Water_01@0@False,Water_01@0@False
Water_01@0@False,Water_Shore_1S_02@0@False,Sand_02@0.09999999@True,Sand_01@0.09999999@True,Sand_02@0.09999999@True,Sand_01@0.09999999@True,Water_01@0@False,Water_01@0@False,Water_Shore_2S_04@0@False,Sand_03@0.09999999@True,Sand_03@0.06999999@True,Water_01@0@False,Water_Shore_2S_04@0@False,Sand_02@0.09999999@True,Water_01@0@False,Water_01@0@False
Water_01@0@False,Water_Shore_1S_02@0@False,Sand_02@0.09999999@True,Sand_02@0.11@True,Sand_01@0.09999999@True,Water_Shore_3S_01@0@False,Water_Shore_1S_03@0@False,Water_Shore_2S_04@0@False,Sand_03@0.09999999@True,Water_Shore_2S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_2S_04@0@False,Sand_01@0.11@True,Sand_01@0.09999999@True,Water_01@0@False,Water_01@0@False
Water_01@0@False,Water_01@0@False,Water_Shore_2S_01@0@False,Sand_02@0.09999999@True,Sand_01@0.09999999@True,Sand_02@0.09999999@True,Dirt_02@0.07999999@True,Dirt_01@0.21@True,Sand_02@0.11@True,Sand_01_ToStone_01@0.13@True,Sand_01_ToStone_02@0.14@True,Sand_01@0.08999999@True,Dirt_02@0.19@True,Dirt_02@0.12@True,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False
Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_Shore_2S_01@0@False,Sand_01@0.11@True,Sand_01@0.09999999@True,Sand_01@0.12@True,GrassPatch_01@0.11@True,Dirt_02_ToStone_01@0.17@True,Stone_01@0.3599999@True,Sand_02@0.06999999@True,Sand_01_ToStone_02@0.09999999@True,Sand_01_ToStone_02@0.13@True,Sand_02_ToStone_01@0.18@True,Dirt_01@0.4099999@True,Sand_02@0.09999999@True
Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_Shore_2S_01@0@False,Sand_01@0.11@True,Sand_03@0.09999999@True,GrassPatch_03@0.11@True,GrassPatch_01@0.11@True,Sand_03@0@True,Sand_01@0.09999999@True,Water_Shore_4S_04@0@False,Water_Shore_4S_04@0@False,Sand_01_ToStone_01@0.12@True,Dirt_01@0.21@True,Sand_01@0.11@True
Water_01@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_1S_03@0@False,Water_Shore_2S_01@0@False,Sand_03@0.09999999@True,Grass_01@0.07999999@True,GrassPatch_01@0.06999999@True,Sand_01@0.09999999@True,Sand_01@0.09999999@True,Water_Shore_4S_04@0@False,Sand_01@0.11@True,Sand_01@0.11@True,Water_01@0@False,Water_01@0@False
Water_Shore_1S_02@0@False,Sand_01@0.09999999@True,Sand_01@0.09999999@True,Sand_01@0.09999999@True,Sand_01@0.09999999@True,Water_Shore_3S_04@0@False,Sand_01@0.09999999@True,GrassPatch_02@0.13@True,Grass_01@0.14@True,Sand_01@0.11@True,Sand_01@0.11@True,Sand_01@0.09999999@True,Water_01@0@False,Sand_01@0.09999999@True,Water_01@0@False,Sand_01@0.11@True
Water_Shore_1S_02@0@False,Sand_02@0.09999999@True,Sand_02@0.09999999@True,Sand_03@0.09999999@True,Sand_01@0.11@True,Sand_02@0.09999999@True,Sand_03@0.09999999@True,GrassPatch_01@0.13@True,GrassPatch_01@0.2@True,Sand_01@0.09999999@True,Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_01@0@False,Water_01@0@False,Sand_01@0.09999999@True
Water_01@0@False,Water_Shore_2S_01@0@False,Sand_02@0.08999999@True,Sand_03@0.09999999@True,Sand_01@0.09999999@True,Sand_01@0.11@True,GrassPatch_03@0.07999999@True,Grass_01@0.11@True,Grass_01@0.3999999@True,Sand_01@0.09999999@True,Water_Shore_2S_03@0@False,Water_01@0@False,Water_01@0@False,Sand_01@0.09999999@True,Sand_01@0.08999999@True,Sand_01@0.09999999@True
